Airfoils,t0.75c,Cd,Cl/Cd,cluster
NACA 4424,0.12537,0.01594,31.36762861,1
NACA 6412,0.06284,0.012709999999999999,39.33910307,2
LOCKHEED L-188 ROOT,0.079278,0.01665,30.03003003,1
LOCKHEED L-188 TIP,0.071582,0.01619,30.88326127,1
LISSAMAN 7769,0.0286,0.0105,47.61904762,0
DOUGLAS LA203A,0.064606,0.013019999999999999,38.40245776,2
LA2573A,0.049701999999999996,0.01238,40.38772213,2
LIEBECK LA5055,0.051,0.0169,29.58579882,1
LDS-2,0.059817999999999996,0.01169,42.77159966,0
LOCKHEED-GEORGIA SUPERCRITICAL,0.059039999999999995,0.011470000000000001,43.59197908,0
LNV109A,0.025972000000000002,0.01184,42.22972973,0
lrn1007,0.03746,0.011859999999999999,42.15851602,0
NASA LRN 1015,0.077168,0.01353,36.954915,2
NASA/LANGLEY LS(1)-0013,0.06858,0.01814,27.56339581,1
NASA/LANGLEY LS(1)-0417MOD,0.08104,0.01949,25.65418163,1
NASA/LANGLEY LS(1)-0417 (GA(W)-1),0.08978,0.01878,26.62406816,1
NASA/LANGLEY LS(1)-0421,0.11083,0.02514,19.88862371,1
LWK 79-100,0.033280000000000004,0.014459999999999999,34.57814661,2
LWK 80-080,0.04658,0.01015,49.26108374,0
LWK 80-120/K25,0.06817999999999999,0.01139,43.89815628,0
LWK 80-150/K25,0.0832,0.00981,50.96839959,0
GOE 14K AIRFOIL,0.0973,0.012620000000000001,39.61965135,2
GOE 703,0.11325,0.01436,34.8189415,1
FX 83-W-227,0.12009,0.01444,34.62603878,1
FX 84-W-218,0.1035,0.01567,31.90810466,1
MH 150  23.89%,0.07320700000000001,0.01674,29.86857826,1
EPPLER 858,0.08644,0.011179999999999999,44.72271914,0
AH 93-W-215,0.09473,0.013030000000000002,38.37298542,2
EPPLER 520,0.0637,0.01094,45.70383912,0
WORTMANN FX L V-152,0.0592,0.013369999999999998,37.39715782,2
EPPLER E837 HYDROFOIL,0.07096000000000001,0.01028,48.638132299999995,0
MH 91  14.98%,0.062937,0.01078,46.38218924,0
 NACA-M12,0.06895,0.01565,31.94888179,1
NACA M6,0.06975,0.013040000000000001,38.34355828,2
NACA M15,0.06947,0.016,31.25,1
NACA M18,0.06935,0.01627,30.7314075,1
NACA M21,0.06955,0.01544,32.38341969,1
NACA M24,0.06889680000000001,0.01671,29.92220227,1
NACA M27,0.06977219999999999,0.01792,27.90178571,1
NACA M3,0.0684,0.014169999999999999,35.2858151,2
NACA/Munk M6 (85%),0.0592875,0.01272,39.3081761,2
MARSKE XM-1D AIRFOIL (F14-3.0),0.05269525,0.01111,45.00450045,0
Marsden,0.093093475,0.023819999999999997,20.99076406,1
MB253515 15.0% smoothed,0.07764,0.01089,45.91368228,0
RONCZ LOW DRAG FLYING WING ,0.063877659,0.01888,26.48305085,1
MARSKE MONARCH AIRFOIL (NACA 43012A),0.0624,0.011170000000000001,44.76275739,0
MARSKE PIONEER IID ROOT AIRFOIL (NACA 431012A/24112 HYBRID),0.06215,0.01067,46.86035614,0
MARSKE PIONEER IA AIRFOIL (NACA 23112/43012A HYBRID),0.0614,0.01036,48.26254826,0
MH 102  16.99%,0.067841514,0.014280000000000001,35.014005600000004,2
MH 104  15.28%,0.06108848,0.01486,33.6473755,2
MH 106  13.07%,0.052198932,0.011309999999999999,44.208664899999995,0
MH 112,0.071667059,0.01521,32.8731098,1
MH 120  11.57%,0.06232184,0.011729999999999999,42.62574595,0
MH 150  23.89%,0.078081437,0.01674,29.86857826,1
MH 200  12.97%,0.069044412,0.01065,46.94835681,0
MH 93  15.98%,0.070487498,0.011340000000000001,44.09171076,0
MH 95  15.86%,0.090812185,0.00976,51.229508200000005,0
MH 25  9.98%,0.072216762,0.01375,36.36363636,2
MH 27  11.99%,0.09154551,0.01025,48.780487799999996,0
MH 78  14.47%,0.052471251,0.010320000000000001,48.4496124,0
MH 70  11.08%,0.046635382999999996,0.00945,52.91005291,0
MH 61 10.26%,0.041209789,0.0093,53.76344086,0
Falcon,0.0735,0.01564,31.96930946,1
Fage & Collins 4,0.0764,0.01121,44.60303301,0
FAUVEL 14% AIRFOIL,0.0552,0.01286,38.88024883,2
WORTMANN FX 05-188 AIRFOIL,0.08921,0.01188,42.08754209,2
WORTMANN FX 3 AIRFOIL,0.12408,0.020980000000000002,23.83222116,1
FX 71-L-150/20 AIRFOIL,0.050539999999999995,0.0108,46.2962963,0
FX 67-K-170/17 AIRFOIL,0.08805,0.013640000000000001,36.6568915,2
WORTMANN FX 69-274,0.13558,0.01601,31.23048095,1
FX 78-PK-188/20,0.10343,0.015369999999999998,32.53090436,1
FX 76-MP-160,0.07867,0.013319999999999999,37.53753754,2
FX 75-VG-166/22,0.08922999999999999,0.011290000000000001,44.28697963,2
FX 76-MP-120,0.06072999999999999,0.01277,39.15426782,2
WORTMANN FX 75-193,0.09068,0.013269999999999999,37.67897513,2
FX 61-140 AIRFOIL,0.05326,0.01326,37.70739065,2
WORTMANN FX 60-126/1 AIRFOIL,0.04189,0.013090000000000001,38.19709702,2
FX 61-147 AIRFOIL,0.05997,0.01355,36.900369,2
FX LIII-142 K 25 AIRFOIL,0.052000000000000005,0.0125,40.0,2
FX 84-W-127,0.061970000000000004,0.01218,41.05090312,2
FX 79-L-120,0.048760000000000005,0.010409999999999999,48.03073967,0
WORTMANN FX 75-141,0.06064,0.010620000000000001,47.08097928,0
FX 71-L-150/25 AIRFOIL,0.055420000000000004,0.01157,43.21521175,0
FX 63-120 AIRFOIL,0.0408,0.01039,48.12319538,0
FX 61-147 AIRFOIL,0.05997,0.01355,36.900369,2
